hotel_name,city,country,price_per_night,rating,rating_status,review_count,stars,location,distance_to_center,transportation_options,amenities
Florida Hotel,Nha Trang,Vietnam,476190,,8.5Excellent,1751,5.0,"Loc Tho, Nha Trang",0.4,"['Nha Trang Railway Station', 'Lien Tinh Bus Station']","['Breakfast', 'Free fitness center access', '+7']"
Meliá Vinpearl Nha Trang Empire,Nha Trang,Vietnam,1277865,,8.9Excellent,4642,5.0,"Loc Tho, Nha Trang",0.0,"['Nha Trang Railway Station', 'Lien Tinh Bus Station']","['Breakfast', 'Free fitness center access', '+3']"
Amiana Resort Cam Ranh,Nha Trang,Vietnam,2825007,,8.5Excellent,851,5.0,"Cam Hải Đông, Nha Trang",13.3,[],"['Breakfast', 'Free fitness center access', '+10']"
Vinpearl Beachfront Nha Trang,Nha Trang,Vietnam,1428511,,9.0Exceptional,6309,5.0,"Loc Tho, Nha Trang",0.0,"['Nha Trang Railway Station', 'Lien Tinh Bus Station']","['Breakfast', 'Free fitness center access', '+2']"
Holi Panorama Condotel,Nha Trang,Vietnam,450242,,8.1Excellent,5319,4.0,"Loc Tho, Nha Trang",0.0,"['Nha Trang Railway Station', 'Lien Tinh Bus Station']","['Breakfast', 'Free fitness center access', '+3']"
Pavillon Garden Hotel Nha Trang,Nha Trang,Vietnam,249372,,8.2Excellent,1105,3.0,"Loc Tho, Nha Trang",0.0,"['Nha Trang Railway Station', 'Lien Tinh Bus Station']","['Free Premium Wifi', 'Express check-in', '+2']"
TTC Van Phong Bay Resort - Himalaya Sauna & Steam Retreat Included,Nha Trang,Vietnam,1527407,,9.2Exceptional,1284,5.0,"Doc Let, Nha Trang",33.1,[],"['Breakfast', 'Free fitness center access', '+5']"
Virgo Hotel,Nha Trang,Vietnam,779181,,8.8Excellent,12451,5.0,"Tân Lập, Nha Trang",0.0,"['Nha Trang Railway Station', 'Lien Tinh Bus Station']","['Breakfast', 'Free fitness center access', '+3']"
The Morning Glow Boutique Hotel Nha Trang,Nha Trang,Vietnam,2270659,,9.3Exceptional,68,5.0,"Vĩnh Hòa, Nha Trang",4.8,"['Nha Trang Railway Station', 'Lien Tinh Bus Station']",[]
BN Boutique Nha Trang Hotel,Nha Trang,Vietnam,319488,,8.3Excellent,686,4.0,"Loc Tho, Nha Trang",0.0,"['Nha Trang Railway Station', 'Lien Tinh Bus Station']","['Breakfast', 'Free fitness center access', '+21']"
Rembrandt Hotel Nha Trang,Nha Trang,Vietnam,281786,,8.2Excellent,1469,3.0,"Loc Tho, Nha Trang",0.0,"['Nha Trang Railway Station', 'Lien Tinh Bus Station']","['Breakfast', 'Welcome drink', '+3']"
Ana Mandara Cam Ranh,Nha Trang,Vietnam,3597115,,8.8Excellent,6314,5.0,"Cam Hải Đông, Nha Trang",15.8,[],"['Breakfast', 'Free fitness center access', '+6']"
Regalia Gold Hotel,Nha Trang,Vietnam,770011,,9.0Exceptional,21374,5.0,"Tân Lập, Nha Trang",0.0,"['Nha Trang Railway Station', 'Lien Tinh Bus Station']","['Breakfast', 'Free fitness center access', '+4']"
Vinpearl Resort Nha Trang,Nha Trang,Vietnam,2153409,,8.8Excellent,7413,5.0,"Hon Tre, Nha Trang",4.8,['Nha Trang Railway Station'],"['Breakfast', 'Free fitness center access', '+7']"
The Signature Hoi An,Hoi An,Vietnam,1850554,,9.2Exceptional,1679,5.0,"Minh An, Hoi An",0.0,['Nguyen Tat Thanh Bus Station'],"['Breakfast', 'Free fitness center access', '+4']"
Grand Sunrise Palace Hoi An,Hoi An,Vietnam,1430814,,9.7Exceptional,7676,5.0,"Cam Chau, Hoi An",0.8,['Nguyen Tat Thanh Bus Station'],"['Breakfast', 'Free fitness center access', '+11']"
La Siesta Hoi An Resort & Spa,Hoi An,Vietnam,2209491,,9.2Exceptional,6276,5.0,"Thanh Ha, Hoi An",0.0,['Nguyen Tat Thanh Bus Station'],"['Breakfast', 'Free fitness center access', '+8']"
Ancient Town Hotel,Hoi An,Vietnam,520598,,9.5Exceptional,332,4.0,"Cẩm Phô, Hoi An",0.0,[],"['Breakfast', 'Welcome drink', 'Late check-out', '+7']"
RAON HOI AN VILLA,Hoi An,Vietnam,392673,,9.7Exceptional,294,4.0,"Cam Thanh, Hoi An",2.1,"['Nguyen Tat Thanh Bus Station', 'Parking']","['Breakfast', 'Local breakfast', 'Parking', '+8']"
Hotel Hoi An Front Beach,Hoi An,Vietnam,356402,,9.3Exceptional,409,4.0,"Cửa Đại, Hoi An",2.7,['Nguyen Tat Thanh Bus Station'],"['Breakfast', 'Welcome drink', 'Late check-out', '+7']"
Mulberry Collection Silk Eco,Hoi An,Vietnam,1387392,,9.0Exceptional,2695,4.0,"Cẩm Phô, Hoi An",0.0,['Nguyen Tat Thanh Bus Station'],[]
Calla Hotel - 4 minute walk to the Ancient Town,Hoi An,Vietnam,564628,,9.6Exceptional,256,3.0,"Cẩm Phô, Hoi An",0.0,"['Nguyen Tat Thanh Bus Station', 'Parking']","['Parking', 'Late check-in', 'Free WiFi', '+2']"
Lantana Boutique Hoi An Hotel,Hoi An,Vietnam,1333093,,9.0Exceptional,3558,4.0,"Minh An, Hoi An",0.0,['Nguyen Tat Thanh Bus Station'],"['Breakfast', 'Free fitness center access', '+10']"
New World Hoiana Hotel,Hoi An,Vietnam,2062322,,9.0Exceptional,1585,5.0,"Thang Binh, Hoi An",8.4,['Airport transfer [both ways]'],"['Breakfast', 'Free fitness center access', '+4']"
Sen Village Hoi An,Hoi An,Vietnam,1117942,,9.0Exceptional,27,5.0,"Cam Chau, Hoi An",0.0,['Nguyen Tat Thanh Bus Station'],"['Breakfast', 'Free fitness center access', '+9']"
LEGACY HOI AN RESORT,Hoi An,Vietnam,1224322,,9.0Exceptional,2807,4.0,"Cam Thanh, Hoi An",1.3,['Nguyen Tat Thanh Bus Station'],"['Breakfast', 'Free fitness center access', '+6']"
Bliss Hoi An Beach Resort & Wellness,Hoi An,Vietnam,2688219,,9.1Exceptional,2467,5.0,"Thang Binh, Hoi An",14.4,"['Airport transfer [both ways]', 'Airport transfer [one way]']","['Breakfast', 'Free fitness center access', '+16']"
Reu Boutique Hotel,Hoi An,Vietnam,1684036,,9.4Exceptional,698,4.0,"Cam Chau, Hoi An",0.7,['Nguyen Tat Thanh Bus Station'],"['Breakfast', 'Welcome drink', '+6']"
The Pearl Hoi An,Hoi An,Vietnam,1764583,,8.3Excellent,4409,5.0,"Cam An, Hoi An",3.8,"['Nguyen Tat Thanh Bus Station', 'Parking']","['Breakfast', 'Parking', 'Free WiFi', '+3']"
Gia Huy Riverside Hotel Hoi An,Hoi An,Vietnam,631459,,8.9Excellent,1233,4.0,"Thanh Ha, Hoi An",0.0,"['Nguyen Tat Thanh Bus Station', 'Parking']","['Breakfast', 'Welcome drink', 'Parking', '+3']"
Lasenta Boutique Hotel Hoian,Hoi An,Vietnam,1127749,,9.1Exceptional,5339,4.0,"Cam Chau, Hoi An",0.0,['Nguyen Tat Thanh Bus Station'],"['Breakfast', 'Free fitness center access', '+4']"
Hadana Boutique Resort Hoi An,Hoi An,Vietnam,978254,,9.2Exceptional,2186,4.0,"Cam Chau, Hoi An",0.1,['Nguyen Tat Thanh Bus Station'],"['Breakfast', 'Free fitness center access', '+8']"
Chillax Old Town Villa,Hoi An,Vietnam,780651,,9.1Exceptional,2448,4.0,"Minh An, Hoi An",0.0,['Nguyen Tat Thanh Bus Station'],"['Breakfast', 'Welcome drink', '+5']"
Sứ Retreat Hoi An - Riverfront Resort,Hoi An,Vietnam,6606709,,9.2Exceptional,152,4.0,"Cam Thanh, Hoi An",1.1,['Nguyen Tat Thanh Bus Station'],[]
Bellerive Hoi An Resort and Spa,Hoi An,Vietnam,1432318,,9.0Exceptional,1108,5.0,"Cửa Đại, Hoi An",3.4,['Nguyen Tat Thanh Bus Station'],"['Breakfast', 'Free fitness center access', '+4']"
Premier Senvila Boutique Resort & Spa,Hoi An,Vietnam,767815,,8.8Excellent,2934,4.0,"Cam Thanh, Hoi An",1.5,['Nguyen Tat Thanh Bus Station'],"['Breakfast', 'Free fitness center access', '+10']"
Maris Beach Hotel Phu Quoc,Phu Quoc,Vietnam,648307,,8.3Excellent,1082,4.0,"Duong To, Phu Quoc Island",0.9,[],"['Breakfast', 'Welcome drink', '+3']"
An Phu Hotel,Phu Quoc,Vietnam,580047,,8.8Excellent,3278,3.0,"Duong Dong, Phu Quoc Island",0.0,['Parking'],"['Breakfast', 'Parking', 'Free WiFi']"
The Shells Resort & Spa - Phu Quoc,Phu Quoc,Vietnam,1790490,,8.3Excellent,5753,5.0,"Ong Lang, Phu Quoc Island",2.8,"['Airport transfer [both ways]', 'Parking']","['Breakfast', 'Welcome drink', 'Parking', '+2']"
Regent Phu Quoc By IHG,Phu Quoc,Vietnam,29747425,,9.4Exceptional,1719,5.0,"Duong To, Phu Quoc Island",9.9,['Nearest transportation options'],[]
Rocks Beach Boutique,Phu Quoc,Vietnam,1140483,,8.5Excellent,476,4.0,"Ham Ninh, Phu Quoc Island",11.5,[],"['Breakfast', 'Welcome drink', '+5']"
Muong Thanh Luxury Phu Quoc Hotel,Phu Quoc,Vietnam,925926,,7.9Very good,1810,4.0,"Duong To, Phu Quoc Island",7.3,['Parking'],"['Breakfast', 'Parking', 'Express check-in', '+2']"
Sunset Beach Resort & Spa,Phu Quoc,Vietnam,1270339,,8.9Excellent,2004,4.0,"Duong Dong, Phu Quoc Island",0.0,[],"['Breakfast', 'Free fitness center access', '+4']"
Vinpearl Resort & Spa Phú Quốc,Phu Quoc,Vietnam,2510154,,8.8Excellent,8443,5.0,"Gành Dầu, Phu Quoc Island",17.6,['Airport transfer [both ways]'],"['Breakfast', 'Free fitness center access', '+11']"
"La Festa Phu Quoc, Curio Collection by Hilton",Phu Quoc,Vietnam,6000000,,9.1Exceptional,2550,4.0,"An Thoi, Phu Quoc Island",19.1,['Nearest transportation options'],"['Breakfast', 'Dinner', 'Free WiFi']"
Venice Hotel Phu Quoc - Free Airport Shuttle & Sunset Town Tour,Phu Quoc,Vietnam,1736163,,9.1Exceptional,509,4.0,"An Thoi, Phu Quoc Island",19.0,['Nearest transportation options'],"['Breakfast', 'Free fitness center access', '+10']"
Radisson Blu Resort Phu Quoc,Phu Quoc,Vietnam,2750000,,8.9Excellent,3223,5.0,"Gành Dầu, Phu Quoc Island",16.4,[],"['Breakfast', 'Lunch', 'Dinner', 'Free WiFi']"
La isla Apartments & Villas - Sea View & Fireworks Phu Quoc,Phu Quoc,Vietnam,692751,,8.2Excellent,441,5.0,"An Thoi, Phu Quoc Island",19.3,['Nearest transportation options'],"['Breakfast', 'Free fitness center access', '+3']"
SOL By Melia Phu Quoc,Phu Quoc,Vietnam,2508057,,8.5Excellent,3358,5.0,"Duong To, Phu Quoc Island",5.8,[],"['Breakfast', '+6']"
Salinda Resort Phu Quoc - Sparkling Wine Breakfast,Phu Quoc,Vietnam,5441825,,9.4Exceptional,5881,5.0,"Cua Lap, Phu Quoc Island",1.6,[],[]
